station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA4228,JEFFERSON,2016-10-29,303,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-30,304,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-31,305,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-01,306,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-02,307,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-03,308,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-04,309,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-05,310,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-06,311,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-07,312,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-08,313,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-09,314,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-10,315,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-11,316,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-12,317,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-13,318,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-14,319,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-15,320,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-16,321,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-17,322,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-18,323,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-19,324,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-20,325,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-21,326,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-22,327,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-23,328,0.67,17.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-24,329,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-25,330,0.05,1.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-26,331,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-27,332,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-28,333,0.16,4.1,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-29,334,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-11-30,335,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-01,336,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-02,337,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-03,338,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-04,339,0.33,8.4,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-05,340,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-06,341,0.04,1.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-07,342,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-08,343,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-09,344,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-10,345,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-11,346,0.16,4.1,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-12,347,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-13,348,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-14,349,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-15,350,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-16,351,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-17,352,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-18,353,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-19,354,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-20,355,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-21,356,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-22,357,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-23,358,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-24,359,0.1,2.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-25,360,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-26,361,0.59,15.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-27,362,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-28,363,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-29,364,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-30,365,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-12-31,366,0.0,0.0,True,2016,NWS_COOP
